Address,City,State
"I-80/90, EXIT 72 & US-31",South Bend                              ,IN
"I-80/90, EXIT 72 & US-31",South Bend                              ,IN
"I-75, EXIT 210",Toledo,OH
"I-70, EXIT 23",Brazil,IN
"I-71 & US-68, EXIT 50",Wilmington                              ,OH
"I-80, EXIT 147 & SR-144",Snow Shoe,PA
US-281 BUS,Alice,TX
"I-94, EXIT 243 & SR-29",New Baltimore,MI
"I-94, EXIT 243 & SR-29",New Baltimore,MI
"I-77,  EXIT 16B",Charlotte,NC
"I-69, EXIT 278 & SR-5",Warren,IN
ST 37 11 MI E OF MASSENA,Hogansburg                              ,NY
"I-90, EXIT 154",Albert Lea,MN
"I-90, EXIT 265",Chamberlain,SD
US-22 & SR-164,Loretto,PA
"I-79, EXIT 35/141",Cochranton                              ,PA
"I-787, EXIT 2",Albany,NY
US-49,West Helena                             ,AR
"I-90, EXIT 408 & SR-78",Columbus,MT
US-67 & SR-18,Newport,AR
"I-95, EXIT 8 & US-301",Emporia,VA
"I-25, EXIT 240",Burlington                              ,CO
"I-70, EXIT 438",Burlington                              ,CO
"I-76, EXIT 149 & SR-55/CR-81",Crook,CO
"I-25, EXIT 215",Denver,CO
"I-90, EXIT 73",Jackson,MN
"I-25, EXIT 158",Colorado Springs,CO
"I-35, EXIT 185 & US-77",Perry,OK
US-13,Greenwood,DE
US-13,Greenwood,DE
"I-90, EXIT 184",Deer Lodge                              ,MT
"I-75, EXIT 220",Bradenton,FL
US-46 & SR-93,Palisades Park,NJ
"I-75, EXIT 354",Fort Lauderdale,FL
"I-75, EXIT 49 & SR-84",Fort Lauderdale                         ,FL
"I-40, EXIT 239 & US-70/SR-26",Lebanon,TN
US-24 & US-63,Moberly,MO
"I-10/SR-8, EXIT 303 & US-441",Lake City,FL
US-27/SR-25 & SR-70,Lake Placid,FL
"I-94, EXIT 66",Mattawan,MI
"I-94, EXIT 66",Mattawan,MI
"I-30, EXIT 61",Garland,TX
"I-35 & I-44, EXIT 137",Oklahoma City,OK
I-40 EXIT 41,Elk City,OK
"I-10, EXIT 335 & SR-121",Macclenny,FL
"I-80 & I-94, EXIT 9",Gary,IN
US-167 & SR-7,El Dorado,AR
"I-94, EXIT 19 & US HWY 63",Baldwin                                 ,WI
"I-85, EXIT 21  & US-178",Anderson,SC
"I-40,  EXIT 84",Russellville,AR
"I-40,  EXIT 84",Russellville,AR
US-220,Rocky Mount,VA
"I-59, EXIT 67 & US-49",Hattiesburg,MS
US-41,Miami,FL
US-41,Miami,FL
HIGHWAY 69 & COBBLESTONE DR,Pryor,OK
US-412/SR-15,Enid,OK
"I-85 , EXIT 96",Atlanta,GA
US-441 & CR-13,Douglas,GA
